Ano;Estado;Sigla;NDVI_Medio
2023;Rio Grande do Sul;RS;0,4006116916312331
2023;Mato Grosso do Sul;MS;0,46184216263954053
2023;Mato Grosso;MT;0,4988874690531204
2023;Goiás;GO;0,496373089574237
2023;Distrito Federal;DF;0,6576114393939394
2023;Rondônia;RO;0,3878579006039606
2023;Roraima;RR;0,39144022820884483
2024;Acre;AC;0,3825871733467024
2024;Amazonas;AM;0,5462043465420303
2024;Pará;PA;0,5550058813952703
2024;Amapá;AP;0,3551866598660073
2024;Tocantins;TO;0,44644774078758015
2024;Maranhão;MA;0,3522191585325927
2024;Piauí;PI;0,3855152757689788
2024;Ceará;CE;0,47073749425004374
2024;Rio Grande do Norte;RN;0,43744188509730025
2024;Paraíba;PB;0,4086129036198854
2024;Pernambuco;PE;0,17208029402220634
2024;Alagoas;AL;0,36205954192240175
2024;Sergipe;SE;0,3959356579046756
2024;Bahia;BA;0,4112003163588121
2024;Minas Gerais;MG;0,44817801500719817
2024;Espírito Santo;ES;0,18348823449418866
2024;Rio de Janeiro;RJ;0,32522330100103286
2024;São Paulo;SP;0,348590885013948
2024;Paraná;PR;0,5305432245442371
2024;Santa Catarina;SC;0,36288234693485855
2024;Rio Grande do Sul;RS;0,4098049387329115
2024;Mato Grosso do Sul;MS;0,4580033025047307
2024;Mato Grosso;MT;0,5009900425833529
2024;Goiás;GO;0,5029402154815642
2024;Distrito Federal;DF;0,6570131313131313
2024;Rondônia;RO;0,3947913459573877
2024;Roraima;RR;0,38984780133154195
