Ano;NDVI Médio;NDVI Mediana;Desvio Padrão;NDVI Máximo;NDVI Mínimo
2019;0,8336246023813684;0,8602000000000001;0,10278981415094458;1,0;-0,2
2020;0,8396654846607764;0,8647;0,09793884202368884;1,0;-0,2
2021;0,8385743312673325;0,864;0,10201984558552465;1,0;-0,2
2022;0,8387110312579048;0,8629;0,09833443059239398;1,0;-0,2
2023;0,8401997793965598;0,8636;0,09490197981704099;1,0;-0,2
2024;0,842447536563793;0,8632000000000001;0,0925876293067971;1,0;-0,19890000000000002
