Ano;NDVI Médio;NDVI Mediana;Desvio Padrão;NDVI Máximo;NDVI Mínimo;Temp_Media_C;Chuva_Media_Anual_mm
2019;0,8336246023813684;0,8602000000000001;0,1027898141509445;1,0;-0,2;29,994492;
2020;0,8396654846607764;0,8647;0,0979388420236888;1,0;-0,2;29,856613;1467,0066
2021;0,8385743312673325;0,864;0,1020198455855246;1,0;-0,2;29,609558;1431,9246
2022;0,8387110312579048;0,8629;0,0983344305923939;1,0;-0,2;28,871569;1561,456
2023;0,8401997793965598;0,8636;0,0949019798170409;1,0;-0,2;29,356123;1399,5707
2024;0,842447536563793;0,8632000000000001;0,0925876293067971;1,0;-0,1989;28,817465;1413,6385
